Country,Regiune,Nume Regiune,TIP,Judet,Niv,Nat Level,Nat Lev Name,Sirsup,Cnt Id,Cnt Name,Cnt Abbr,Rang,Siruta,Denloc,Nume Uat,Codp,FS2,FS3,FSJ,FSL,Fictiv,Area Sqm Uat,Perimeter M Uat,Latitude Uat,Longitude Uat,Pop 1Ian2020,Count of siruta_uat_pop.csv
Ro,1,Nord-Est,2,33,2,3Rdorder,Oras,332,1.332,Suceava,Sv,Iv,146370,Oraş Salcea,Salcea,0,35,,35,3.53202E+12,,55864456.48,38097.65186,47.64566456,26.35626978,10931,1
Ro,1,Nord-Est,2,33,2,3Rdorder,Oras,332,1.332,Suceava,Sv,Iv,146931,Oraş Milişauţi,Milişăuţi,0,35,,35,3.53198E+12,,36463554.07,33139.95848,47.78714706,26.00315069,5510,1
Ro,1,Nord-Est,2,33,2,3Rdorder,Oras,332,1.332,Suceava,Sv,Iv,147358,Oraş Broşteni,Broşteni,0,35,,35,3.53191E+12,,432430109.3,127947.8075,47.21730217,25.62253746,6344,1
Ro,1,Nord-Est,2,33,2,3Rdorder,Oras,332,1.332,Suceava,Sv,Iv,147633,Oraş Cajvana,Cajvana,0,35,,35,3.53191E+12,,24689881.18,27642.21703,47.71178942,25.98776857,9949,1
Ro,1,Nord-Est,2,33,2,3Rdorder,Oras,332,1.332,Suceava,Sv,Iv,148006,Oraş Dolhasca,Dolhasca,0,35,,35,3.53194E+12,,110981110.1,65895.07576,47.41729308,26.61969856,11447,1
Ro,1,Nord-Est,2,33,2,3Rdorder,Oras,332,1.332,Suceava,Sv,Iv,148612,Oraş Frasin,Frasin,0,35,,35,3.53195E+12,,83804481.29,51446.3333,47.51023907,25.80220682,6577,1
Ro,1,Nord-Est,2,33,2,3Rdorder,Oras,332,1.332,Suceava,Sv,Iv,149227,Oraş Liteni,Liteni,0,35,,35,3.53197E+12,,73162383.64,52294.35707,47.51172523,26.53033084,10310,1
Ro,1,Nord-Est,2,33,2,3Rdorder,Oras,332,1.332,Suceava,Sv,Iv,151095,Oraş Vicovu De Sus,Vicovu De Sus,0,35,,35,3.53207E+12,,41483472.08,36249.37383,47.92624677,25.65723839,16874,1
Ro,1,Nord-Est,2,37,2,3Rdorder,Oras,378,1.378,Vaslui,Vs,Iii,161856,Oraş Negreşti,Negreşti,0,39,,39,3.93199E+12,,61463085.27,44209.99198,46.83652805,27.471439,10184,1
Ro,1,Nord-Est,2,37,2,3Rdorder,Oras,378,1.378,Vaslui,Vs,Iv,164981,Oraş Murgeni,Murgeni,0,39,,39,3.93198E+12,,135707671.1,80313.74588,46.19980721,28.03983157,8192,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,,26320,Sarata,Sărata,0,4,,4,4.52499E+11,0,21277078.22,25006.11196,46.50236256,26.87073237,2280,1
