Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,People No
Belgium,BEL,Female,FEM,Slovak Republic,SVK,100
Belgium,BEL,Female,FEM,Slovenia,SVN,2
Belgium,BEL,Female,FEM,Spain,ESP,11877
Belgium,BEL,Female,FEM,Sweden,SWE,582
Belgium,BEL,Female,FEM,Malta,MLT,2
Belgium,BEL,Male,MAL,Austria,AUT,587
Belgium,BEL,Male,MAL,Belgium,BEL,0
Belgium,BEL,Male,MAL,Bulgaria,BGR,48
Belgium,BEL,Male,MAL,Croatia,HRV,92
Belgium,BEL,Male,MAL,Cyprus,CYP,54
Belgium,BEL,Male,MAL,Czech Republic,CZE,385
Belgium,BEL,Male,MAL,Denmark,DNK,621
Belgium,BEL,Male,MAL,Estonia,EST,0
Belgium,BEL,Male,MAL,Finland,FIN,130
Belgium,BEL,Male,MAL,France,FRA,26427
Belgium,BEL,Male,MAL,Germany,DEU,12192
Belgium,BEL,Male,MAL,Greece,GRC,518
Belgium,BEL,Male,MAL,Hungary,HUN,156
Belgium,BEL,Male,MAL,Ireland,IRL,633
Belgium,BEL,Male,MAL,Italy,ITA,3036
Belgium,BEL,Male,MAL,Latvia,LVA,11
Belgium,BEL,Male,MAL,Lithuania,LTU,18
Belgium,BEL,Male,MAL,Luxembourg,LUX,7474
Belgium,BEL,Male,MAL,Netherlands,NLD,19017
Belgium,BEL,Male,MAL,Poland,POL,1427
Belgium,BEL,Male,MAL,Portugal,PRT,1502
Belgium,BEL,Male,MAL,Romania,ROU,139
Belgium,BEL,Male,MAL,Slovak Republic,SVK,77
Belgium,BEL,Male,MAL,Slovenia,SVN,1
Belgium,BEL,Male,MAL,Spain,ESP,10879
Belgium,BEL,Male,MAL,Sweden,SWE,606
Belgium,BEL,Male,MAL,Malta,MLT,1
Belgium,BEL,Total,TOT,Austria,AUT,1342
Belgium,BEL,Total,TOT,Belgium,BEL,0
Belgium,BEL,Total,TOT,Bulgaria,BGR,66
Belgium,BEL,Total,TOT,Croatia,HRV,223
Belgium,BEL,Total,TOT,Cyprus,CYP,118
Belgium,BEL,Total,TOT,Czech Republic,CZE,762
Belgium,BEL,Total,TOT,Denmark,DNK,1216
Belgium,BEL,Total,TOT,Estonia,EST,1
Belgium,BEL,Total,TOT,Finland,FIN,237
Belgium,BEL,Total,TOT,France,FRA,53553
Belgium,BEL,Total,TOT,Germany,DEU,24283
Belgium,BEL,Total,TOT,Greece,GRC,1282
Belgium,BEL,Total,TOT,Hungary,HUN,320
Belgium,BEL,Total,TOT,Ireland,IRL,1225
Belgium,BEL,Total,TOT,Italy,ITA,9121
Belgium,BEL,Total,TOT,Latvia,LVA,24
Belgium,BEL,Total,TOT,Lithuania,LTU,26
Belgium,BEL,Total,TOT,Luxembourg,LUX,14687
Belgium,BEL,Total,TOT,Netherlands,NLD,43999
Belgium,BEL,Total,TOT,Poland,POL,2978
Belgium,BEL,Total,TOT,Portugal,PRT,3340
Belgium,BEL,Total,TOT,Romania,ROU,245
Belgium,BEL,Total,TOT,Slovak Republic,SVK,177
Belgium,BEL,Total,TOT,Slovenia,SVN,3
Belgium,BEL,Total,TOT,Spain,ESP,22756
Belgium,BEL,Total,TOT,Sweden,SWE,1188
Belgium,BEL,Total,TOT,Malta,MLT,3
Bulgaria,BGR,Female,FEM,Austria,AUT,3413
Bulgaria,BGR,Female,FEM,Belgium,BEL,655
Bulgaria,BGR,Female,FEM,Bulgaria,BGR,0
Bulgaria,BGR,Female,FEM,Croatia,HRV,241
Bulgaria,BGR,Female,FEM,Cyprus,CYP,2002
Bulgaria,BGR,Female,FEM,Czech Republic,CZE,1910
Bulgaria,BGR,Female,FEM,Denmark,DNK,393
Bulgaria,BGR,Female,FEM,Estonia,EST,6
Bulgaria,BGR,Female,FEM,Finland,FIN,204
Bulgaria,BGR,Female,FEM,France,FRA,4025
Bulgaria,BGR,Female,FEM,Germany,DEU,10934
Bulgaria,BGR,Female,FEM,Greece,GRC,20402
Bulgaria,BGR,Female,FEM,Hungary,HUN,1998
Bulgaria,BGR,Female,FEM,Ireland,IRL,255
Bulgaria,BGR,Female,FEM,Italy,ITA,6575
Bulgaria,BGR,Female,FEM,Latvia,LVA,18
Bulgaria,BGR,Female,FEM,Lithuania,LTU,7
Bulgaria,BGR,Female,FEM,Luxembourg,LUX,106
Bulgaria,BGR,Female,FEM,Netherlands,NLD,1292
Bulgaria,BGR,Female,FEM,Poland,POL,818
Bulgaria,BGR,Female,FEM,Portugal,PRT,196
Bulgaria,BGR,Female,FEM,Romania,ROU,11148
Bulgaria,BGR,Female,FEM,Slovak Republic,SVK,471
Bulgaria,BGR,Female,FEM,Slovenia,SVN,16
Bulgaria,BGR,Female,FEM,Spain,ESP,9614
Bulgaria,BGR,Female,FEM,Sweden,SWE,1812
Bulgaria,BGR,Female,FEM,Malta,MLT,2
Bulgaria,BGR,Male,MAL,Austria,AUT,2538
Bulgaria,BGR,Male,MAL,Belgium,BEL,430
Bulgaria,BGR,Male,MAL,Bulgaria,BGR,0
Bulgaria,BGR,Male,MAL,Croatia,HRV,164
Bulgaria,BGR,Male,MAL,Cyprus,CYP,792
Bulgaria,BGR,Male,MAL,Czech Republic,CZE,2819
Bulgaria,BGR,Male,MAL,Denmark,DNK,303
Bulgaria,BGR,Male,MAL,Estonia,EST,7
Bulgaria,BGR,Male,MAL,Finland,FIN,274
Bulgaria,BGR,Male,MAL,France,FRA,3921
Bulgaria,BGR,Male,MAL,Germany,DEU,9852
Bulgaria,BGR,Male,MAL,Greece,GRC,13324
Bulgaria,BGR,Male,MAL,Hungary,HUN,1575
Bulgaria,BGR,Male,MAL,Ireland,IRL,350
Bulgaria,BGR,Male,MAL,Italy,ITA,3858
Bulgaria,BGR,Male,MAL,Latvia,LVA,25
Bulgaria,BGR,Male,MAL,Lithuania,LTU,26
Bulgaria,BGR,Male,MAL,Luxembourg,LUX,59
Bulgaria,BGR,Male,MAL,Netherlands,NLD,736
Bulgaria,BGR,Male,MAL,Poland,POL,1096
Bulgaria,BGR,Male,MAL,Portugal,PRT,644
Bulgaria,BGR,Male,MAL,Romania,ROU,8638
Bulgaria,BGR,Male,MAL,Slovak Republic,SVK,563
Bulgaria,BGR,Male,MAL,Slovenia,SVN,10
Bulgaria,BGR,Male,MAL,Spain,ESP,12231
Bulgaria,BGR,Male,MAL,Sweden,SWE,1657
Bulgaria,BGR,Male,MAL,Malta,MLT,2
Bulgaria,BGR,Total,TOT,Austria,AUT,5951
Bulgaria,BGR,Total,TOT,Belgium,BEL,1085
Bulgaria,BGR,Total,TOT,Bulgaria,BGR,0
Bulgaria,BGR,Total,TOT,Croatia,HRV,405
Bulgaria,BGR,Total,TOT,Cyprus,CYP,2794
Bulgaria,BGR,Total,TOT,Czech Republic,CZE,4729
Bulgaria,BGR,Total,TOT,Denmark,DNK,696
Bulgaria,BGR,Total,TOT,Estonia,EST,13
Bulgaria,BGR,Total,TOT,Finland,FIN,478
Bulgaria,BGR,Total,TOT,France,FRA,7946
Bulgaria,BGR,Total,TOT,Germany,DEU,20786
Bulgaria,BGR,Total,TOT,Greece,GRC,33726
Bulgaria,BGR,Total,TOT,Hungary,HUN,3573
Bulgaria,BGR,Total,TOT,Ireland,IRL,605
Bulgaria,BGR,Total,TOT,Italy,ITA,10434
Bulgaria,BGR,Total,TOT,Latvia,LVA,43
Bulgaria,BGR,Total,TOT,Lithuania,LTU,33
Bulgaria,BGR,Total,TOT,Luxembourg,LUX,165
Bulgaria,BGR,Total,TOT,Netherlands,NLD,2028
Bulgaria,BGR,Total,TOT,Poland,POL,1914
Bulgaria,BGR,Total,TOT,Portugal,PRT,840
Bulgaria,BGR,Total,TOT,Romania,ROU,19786
Bulgaria,BGR,Total,TOT,Slovak Republic,SVK,1034
Bulgaria,BGR,Total,TOT,Slovenia,SVN,26
Bulgaria,BGR,Total,TOT,Spain,ESP,21845
Bulgaria,BGR,Total,TOT,Sweden,SWE,3469
Bulgaria,BGR,Total,TOT,Malta,MLT,3
Croatia,HRV,Female,FEM,Austria,AUT,44276
Croatia,HRV,Female,FEM,Belgium,BEL,852
Croatia,HRV,Female,FEM,Bulgaria,BGR,46
Croatia,HRV,Female,FEM,Croatia,HRV,0
Croatia,HRV,Female,FEM,Cyprus,CYP,23
Croatia,HRV,Female,FEM,Czech Republic,CZE,790
Croatia,HRV,Female,FEM,Denmark,DNK,435
Croatia,HRV,Female,FEM,Estonia,EST,10
Croatia,HRV,Female,FEM,Finland,FIN,375
Croatia,HRV,Female,FEM,France,FRA,4067
Croatia,HRV,Female,FEM,Germany,DEU,109062
Croatia,HRV,Female,FEM,Greece,GRC,136
Croatia,HRV,Female,FEM,Hungary,HUN,621
Croatia,HRV,Female,FEM,Ireland,IRL,256
Croatia,HRV,Female,FEM,Italy,ITA,16616
Croatia,HRV,Female,FEM,Latvia,LVA,1
Croatia,HRV,Female,FEM,Lithuania,LTU,4
Croatia,HRV,Female,FEM,Luxembourg,LUX,135
Croatia,HRV,Female,FEM,Netherlands,NLD,73
Croatia,HRV,Female,FEM,Poland,POL,569
Croatia,HRV,Female,FEM,Portugal,PRT,17
Croatia,HRV,Female,FEM,Romania,ROU,785
Croatia,HRV,Female,FEM,Slovak Republic,SVK,96
Croatia,HRV,Female,FEM,Slovenia,SVN,24813
Croatia,HRV,Female,FEM,Spain,ESP,415
Croatia,HRV,Female,FEM,Sweden,SWE,2514
Croatia,HRV,Female,FEM,Malta,MLT,2
Croatia,HRV,Male,MAL,Austria,AUT,41271
